anyo,nombre_cas,codigo,padre
2023,SANIDAD,3003829462, 
2023,GRADO MEDIO,3003829464,3003829462
2023,HOSTELERÍA Y TURISMO,3003826430, 
2023,CUIDADOS AUXILIARES DE ENFERMERÍA,3003829508,3003829464
2023,Primero,3003829510,3003829508
2023,Segundo,3003829517,3003829508
2023,GRADO SUPERIOR,3003829562,3003829462
2023,GRADO SUPERIOR,3003826453,3003826430
2023,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,3003826539,3003826453
2023,LABORATORIO CLÍNICO Y BIOMÉDICO,3003829627,3003829562
2023,Primero,3003829629,3003829627
2023,Segundo,3003829636,3003829627
2023,Primero,3003826541,3003826539
2023,Segundo,3003826548,3003826539
2023,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS,3003826602,3003826453
2023,Primero,3003826604,3003826602
2023,Segundo,3003826611,3003826602
2023,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICAS",3003826623,3003826453
2023,Primero,3003826625,3003826623
2023,Segundo,3003826632,3003826623
2023,COMERCIO Y MARKETING,3003822259, 
2023,GRADO MEDIO,3003822315,3003822259
2023,ACTIVIDADES COMERCIALES,3003822335,3003822315
2023,Primero,3003822337,3003822335
2023,Segundo,3003822344,3003822335
2023,GRADO SUPERIOR,3003822382,3003822259
2023,COMERCIO INTERNACIONAL (LOE),3003822405,3003822382
2023,Segundo,3003822407,3003822405
2023,Primero,3003822414,3003822405
2023,MARKETING Y PUBLICIDAD,3003822447,3003822382
2023,Primero,3003822449,3003822447
2023,Segundo,3003822456,3003822447
2023,FABRICACIÓN MECÁNICA,3003822563, 
2023,ADMINISTRACIÓN Y GESTIÓN,3003827148, 
2023,GRADO MEDIO,3003827201,3003827148
2023,INFORMÁTICA Y COMUNICACIONES,3003828685, 
2023,CURSO ESPECIALIZACIÓN,3003828687,3003828685
2023,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN,3003828689,3003828687
2023,Primero CE,3003828691,3003828689
2023,INTELIGENCIA ARTIFICIAL Y BIG DATA,3003828703,3003828687
2023,Primero CE,3003828705,3003828703
2023,GESTIÓN ADMINISTRATIVA (LOE),3003827231,3003827201
2023,Primero,3003827233,3003827231
2023,Segundo,3003827240,3003827231
2023,GRADO SUPERIOR,3003827264,3003827148
2023,GRADO MEDIO,3003828735,3003828685
2023,SISTEMAS MICROINFORMÁTICOS Y REDES,3003828758,3003828735
2023,Primero,3003828760,3003828758
2023,Segundo,3003828767,3003828758
2023,GRADO SUPERIOR,3003828784,3003828685
2023,DESARROLLO DE APLICACIONES WEB,3003828786,3003828784
2023,Segundo,3003828788,3003828786
2023,Primero,3003828795,3003828786
2023,GRADO SUPERIOR,3003822803,3003822563
2023,ÓPTICA DE ANTEOJERÍA,3003822870,3003822803
2023,Primero,3003822872,3003822870
2023,ADMINISTRACIÓN Y FINANZAS (LOE),3003827315,3003827264
2023,Segundo,3003827317,3003827315
2023,Primero,3003827324,3003827315
2023,DESARROLLO DE APLICACIONES MULTIPLATAFORMA,3003828814,3003828784
2023,Primero,3003828816,3003828814
2023,Segundo,3003828823,3003828814
2023,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED,3003828884,3003828784
2023,Segundo,3003822879,3003822870
2023,Primero,3003828893,3003828884
2023,Segundo,3003828900,3003828884
2023,HOSTELERÍA Y TURISMO,3003854742, 
2023,OPERACIONES BÁSICAS DE PISOS EN ALOJAMIENTOS,3003854744,3003854742
